index,ID,text
56,1458685291150155777,"RT @hermanntertsch: @ZiemianczykOlek Los polacos no están solos. Al contrario, los injustos, sectarios y malintencionados ataques a Polonia…"
57,1458685255188164608,"RT @GonBernardos: El gobierno ha firmado con la Comisión Europea una rebaja de las pensiones al ampliar el período de cálculo, previsibleme…"
58,1458684813150412804,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
59,1458684654614192135,"El gobierno ha firmado con la Comisión Europea una rebaja de las pensiones al ampliar el período de cálculo, previs… https://t.co/bWZxlgzdg7"
60,1458684410799308806,"RT @salvadostv: Este viernes acaba la #COP26... con cierto pesimismo: ""No estamos ni cerca de los objetivos""
📰 https://t.co/giRITe6sUg http…"
61,1458684085619073024,@publico_es Se inmiscuye la comisión europea o es una decisión de Escrivá? Esto recuerda a la bajada de las pension… https://t.co/5zCvrpTgF4
62,1458683955239079943,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
63,1458683659016355845,🟢 PILLAN a LA PRESIDENTA de la COMISIÓN EUROPEA USANDO su AVIÓN para 🟢 https://t.co/HR2sBo7KrN a través de @YouTube
64,1458683638292398089,RT @sanchezcastejon: Avanzamos y marcamos un nuevo hito: somos el primer país en acordar con la @EU_Commission las Disposiciones Operativas…
65,1458683429269213188,RT @mjmonteroc: Hoy damos un paso clave para recibir los fondos europeos al firmar con el comisario @PaoloGentiloni el acuerdo sobre las Di…
66,1458683384839000067,RT @sanchezcastejon: Avanzamos y marcamos un nuevo hito: somos el primer país en acordar con la @EU_Commission las Disposiciones Operativas…
67,1458682802715701248,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
68,1458682742745489409,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
69,1458682610809548807,"La Comisión Europea investigará a Oltra por los casos de abusos a menores

Que vergüenza, que asco, que miserable.… https://t.co/5GfZoazKil"
70,1458682521932214273,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
71,1458682343942758403,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
72,1458681855503437824,"RT @psotoacosta: ⚠️La Comisión Europea va a rebajar este jueves las estimaciones de crecimiento de España a 4,6% para 2021 y 5,5% para 2022…"
73,1458681682651975687,"RT @YayosCartagena: ""El Gobierno español y la Comisión Europea han firmado ya el memorando por el que se regirá la supervisión de las ayuda…"
74,1458681645201084418,"RT @salvadostv: Este viernes acaba la #COP26... con cierto pesimismo: ""No estamos ni cerca de los objetivos""
📰 https://t.co/giRITe6sUg http…"
75,1458681587864907777,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
76,1458681412329132034,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
77,1458681306322194436,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
78,1458681260801503233,"RT @psotoacosta: ⚠️La Comisión Europea va a rebajar este jueves las estimaciones de crecimiento de España a 4,6% para 2021 y 5,5% para 2022…"
79,1458680994794455048,"RT @psotoacosta: ⚠️La Comisión Europea va a rebajar este jueves las estimaciones de crecimiento de España a 4,6% para 2021 y 5,5% para 2022…"
80,1458680837747138563,RT @mjmonteroc: Hoy damos un paso clave para recibir los fondos europeos al firmar con el comisario @PaoloGentiloni el acuerdo sobre las Di…
81,1458680418270654465,"RT @DoriToribio: La presidenta de la Comisión Europea, Ursula Von der Leyen, asegura tras su reunión con el presidente Biden en la Casa Bla…"
82,1458680251328958468,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
